"","d.especific","d.trazabilidad","d.problemas","d.mejoracont","d.gesproydis","dnorm.calidad","d.rotacion","part.personal","depto.id","prop.prof","prop.tec","capacit.jer","capacit.nojer","dvinc.firmas","dvinc.pub","d.evaldes","dcap.func","difu.bpracticas","d.basedatos","d.estimul"
"d.especific",1,0.439052243655792,0.352867413583319,0.296264260563854,0.254949063016595,0.309714577645113,0.112905705704237,0.139424824726686,0.185163257390779,0.0924929311494094,0.157538775477618,0.187392867074624,0.158880498146285,0.171538795009276,0.200002160538997,0.230043975334775,0.232348114293905,0.176894877304397,0.161264470992779,0.172103384628563
"d.trazabilidad",0.439052243655792,1,0.415439587118093,0.331591579651743,0.267513536144868,0.366591028850058,0.131656829962841,0.135101487870282,0.166463943121497,0.0952778737242867,0.159493044041858,0.191287555302752,0.167275505619608,0.17860729078485,0.216939216631377,0.229138036630495,0.253029871252889,0.177752012541013,0.179880385644888,0.178909079890531
"d.problemas",0.352867413583319,0.415439587118093,1,0.434715076018015,0.345965481949234,0.354066378892012,0.131271773193384,0.171467822880326,0.238569667131574,0.111077573300224,0.202854807196197,0.225693888063342,0.198642478960321,0.195513525065742,0.228865280602166,0.268409001919905,0.280578912966684,0.257022577908468,0.230497020858842,0.227323269091735
"d.mejoracont",0.296264260563854,0.331591579651743,0.434715076018015,1,0.430545282237303,0.395152087469519,0.135542025865015,0.191670785110215,0.297513906598696,0.116736230410713,0.233656126568308,0.348490823040742,0.288745969699371,0.201914334772181,0.304790807736717,0.333244600918751,0.37329306980989,0.31301407176522,0.266544644998099,0.276024572721283
"d.gesproydis",0.254949063016595,0.267513536144868,0.345965481949234,0.430545282237303,1,0.306741130837725,0.0684172179677196,0.167106382235226,0.366568794086545,0.161826340763447,0.282279735590456,0.284468578169148,0.228846926931704,0.220683897614139,0.296911916173602,0.279153626072516,0.303113143636971,0.249035259390961,0.263946871631627,0.246794453097403
"dnorm.calidad",0.309714577645113,0.366591028850058,0.354066378892012,0.395152087469519,0.306741130837725,1,0.122773854204587,0.154437838246572,0.250644361666706,0.132247740187449,0.229977916155041,0.271615855660172,0.247671145010594,0.194849367310588,0.27762272414646,0.31616747034339,0.339158890996204,0.225635175823449,0.197543237274307,0.215089813867777
"d.rotacion",0.112905705704237,0.131656829962841,0.131271773193384,0.135542025865015,0.0684172179677196,0.122773854204587,1,0.116912575646935,0.118774005116661,0.0490146187029359,0.0916186221992037,0.102666762570058,0.100163500627419,0.135192312653664,0.125885299203304,0.113188466777863,0.129374607813988,0.116220694482689,0.0948081884723104,0.101911515828613
"part.personal",0.139424824726686,0.135101487870282,0.171467822880326,0.191670785110215,0.167106382235226,0.154437838246572,0.116912575646935,1,0.148232077294527,0.158299583353049,0.129376053530695,0.230925138850818,0.175528534207096,0.162707475233406,0.17085879966336,0.242983636955416,0.20453803147302,0.268793660027552,0.146510999560118,0.291391153196314
"depto.id",0.185163257390779,0.166463943121497,0.238569667131574,0.297513906598696,0.366568794086545,0.250644361666706,0.118774005116661,0.148232077294527,1,0.16949089907099,0.276497666018106,0.264042022994256,0.205770676746354,0.233240142325776,0.313277597495671,0.255040299808499,0.253918828283733,0.218105077960204,0.198407436068168,0.248229346283246
"prop.prof",0.0924929311494094,0.0952778737242867,0.111077573300224,0.116736230410713,0.161826340763447,0.132247740187449,0.0490146187029359,0.158299583353049,0.16949089907099,1,0.314330872159434,0.168789823518192,0.126162864141741,0.111041841540005,0.157250322486155,0.133980227648615,0.140456784952805,0.118308942896481,0.154195925490632,0.150832295640781
